sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
C’est évident quand on y pense, le 30 novembre 2023 à 15h30;Le loup est et reste une espèce vulnérable en cours de réintroduction sur le territoire français. Nos aînés ont jugé bon de classé cette espèce car les nuisibles proies de ces canidés sévissait sans peur. Je fait référence à la convention de Berne en 1979 et à la Directive Habitats en 1992 Quels sont les chiffres attestant de la corrélation entre la croissance des populations de loup gris et la baisse des dévastes écologiques de leurs proies ? De même quels sont les chiffres attestant des terres stérilisés par les aires de pâturages ? Sans chiffres de chaque constituante d’un écosystème il est imprudent d’effectuer une modification telle qu’un maillon s’en retrouverait menacé. Chiffres que nous donnent les chercheurs si on sait les écoutés. (Avis négatif de la part du CNPN) Il paraît donc évident qu’un refus de ce nouveau PNA  doit être prononcé;;;;;;;;;;;;;;;;
Un texte contre la protection de la biodiversité, le 30 novembre 2023 à 15h37;Ce texte contredit tous les discours et documents officiels concernant la protection de la biodiversité et ne saurait être un « paravent » pour éliminer un prédateur concurrent des chasseurs. Je suis donc que le déplorer et m’y opposer.;;;;;;;;;;;;;;;;
Laissez les vivre !!, le 30 novembre 2023 à 15h28;Plutôt que d’autoriser des tirs qui ne seront pas forcément justifiés et dans la mesure où certains pourront prendre cette autorisation pour une autorisation de chasse au loup, un tel texte ne peut être promulgué.  Il serait bien plus subtil de protéger les troupeaux : chiens, bergers, parcage nocturne…Avec bien sûr les aides nécessaires pour la formation et l’assistance des bergers.  Si la ressource alimentaire est plus difficilement accessible, la population de loups se régulera et se déplacera d’elle même.;;;;;;;;;;;;;;;;
Il faut protéger le loup., le 30 novembre 2023 à 15h12;Le loup fait partie de notre écosystème et doit être protégé. Outre sa nécessité écologique, cette protection a également des intérets économiques. Dans le Yellowstone sa réintroduction a réduit le nombre de cervidés et permis un meilleur développement des arbres.  En Italie, dans les Abruzzes, sa présence attire un grand nombre d’amateurs de la nature ce qui profite aux activités touristiques de la région. Ces deux seuls intérêts compensent largement les dégats causés par les attaques de troupeux, dégats qu’il faut par ailleurs relativiser : Le loup tue 10 ooo moutons par an alors que l’homme en abat près de cinq millions.;;;;;;;;;;;;;;;;
pour une plus grande simplification, le 30 novembre 2023 à 15h27;Il est normal de pouvoir protéger son troupeau et ça devrait être encore bien simplifié;;;;;;;;;;;;;;;;
arrêté concernant le loup et visant à simplifier les conditions de destruction de cette espèce protégée., le 30 novembre 2023 à 13h16;L’engagement de l’Etat en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée, envisagé à la fois dans la Convention de Berne de 1979 et dans la Directive Habitats de 1992, est contraire à l’objectif d’assurer un bon état de conservation.  Les proposées visant à introduire une régulation de la population lupine française, en contradiction avec le droit communautaire et national, constituent un non-sens en termes de biologie de la conservation. Il est urgent de changer notre regard sur la faune sauvage et de réaliser ce que la biodiversité apporte à l’équilibre des écosystèmes naturels. Redonnons de la place aux autres espèces en assumant politiquement la légitimité de leur présence à nos côtés.;;;;;;;;;;;;;;;;
avis défavorable, le 30 novembre 2023 à 13h44;non à ce projet, écouter les scientifiques sur ce sujet…;;;;;;;;;;;;;;;;
Avis défavorable, le 30 novembre 2023 à 13h44;Avis défavorable car aucune étude ne prouve que l’abattage des loups créer une baisse des attaques sur le bétail.  Ensuite les tirs sont autorisés même s’il n’y a eu aucune attaque sur le bétail d’enregistrer.. Ça prouve bien que ce projet est complètement insensé.  Les tirs restent autorisé sans savoir si le loup en question est à l’origine ou pas de l’attaque sur le bétail. Le tir est autorisé dans même qu’il y ai eu au préalable un moyen de protection du bétail mis en place.. Alors quand je vois, que le ministère veut facilité les tirs ( comme indiqué dans le pna) . C’est insensé.. En effet les tireurs pourrait passer à 2 ou 3 au lieu de 1. Ensuite chose dangereuse : les tireurs pourront utiliser des dispositifs d’amplification de la lumière ou thermique, ils n’aurait donc plus besoin d’éclairage la nuit… Ce qui en fait un danger.  De plus, les tirs ne seront pas suspendu après l’abattage du loup qui a attaqué les troupeaux..   Cela prouve juste que ce projet d’assouplir les tirs sur les loups n’ pas pour but de faire baisser les attaques sur le bétail.. Le but est juste de tuer des loups pour éviter leur croissance et propagation.. En gros un véritable massacre.  C’est juste intolérable.   Mais bien sur je sais que vous ne tiendrez pas compte des avis des gens.;;;;;;;;;;;;;;;;
Avis défavorable au PNA Loup, le 30 novembre 2023 à 13h53;A l’image de l’action gouvernementale contre le dérèglement climatique ou l’érosion de la biodiversité, ce nouveau plan fait totalement l’impasse sur l’avis scientifique, au point de ne pas prendre en compte l’avis négatif sur ce PNA émis par sa propre instance scientifique gouvernementale qu’est le Conseil National de Protection de la Nature. Si les problématiques rencontrées par l’élevage sont bien réelles, je préfère voir nos impôts indémniser les attaques plutôt que de financer la chasse du loup. Au moins, ils contribueront directement à la préservation de la biodiversité et des écoystèmes. La présence du loup a permis dans bien des endroits (cf. le Yellowstone) la restructuration de forêts, havres de biodiversité et alliées contre le dérèglement climatique. Sa simple présence a également permis une régulation des populations dites nuisibles comme les cervidés. Et ce sans intervention humaine ni fusils. Ce PNA fait le choix de la chasse et de l’élevage, pour conforter un électorat et des activités économiques, au détriment de la science et du vivant. Ce choix n’est pas le mien.;;;;;;;;;;;;;;;;
Non au plan autorisant la destruction des loups, le 30 novembre 2023 à 13h56;Résolument contre : cette espèce est protégée et une fois de plus la France contrevient à des engagements internationaux. La destruction d’individus n’a pas apporté la preuve de son efficacité, enfin ne sont pas pris en compte les bénéfices écologiques apportés par l’espèce en termes de régulation et de maintien des équilibres naturels. Notons que le Conseil National de Protection de la Nature, instance scientifique indépendante consultée dans le cadre de l’élaboration de ce PNA, a produit un avis négatif. Une fois de plus notre gouvernement a cédé au lobbying de la chasse et de l’agro-industrie…;;;;;;;;;;;;;;;;
Adaptons nous par la solidarité plutôt que par la destruction, le 30 novembre 2023 à 14h04;Il a été observé que tuer un loup engendre un dérèglement dans l’organisation d’une meute et que ceci conduit a une désorganisation de leurs comportements pouvant ainsi provoquer des attaques plus anarchiques par de jeunes individus dont le cadre societale a été décimé. Il a aussi été observé que la présence humaine et d’un petit feu suffit à éloigner les loups des troupeaux. Préférons un plan durable et vertueux mettant en place un système facilitant l’aide au berger en mobilisant des moyens humains afin de veiller sur les troupeaux nuits et jours. Il est fort probable que nombre de français et d’européens seraient heureux de passer quelques nuits par an dans les espaces naturels afin de veiller et de participer  à la préservation de notre patrimoine sauvage, de nos paysages et de la production d’aliments sain par le bien être animal qu’il soit domestique ou sauvage. Un système prévoyant le prêt de matériels, quelques heures de formation et de sensibilisation et une mise en relation avec les bergers suffirait à faire de nombreux heureux ( les veilleurs, les bergers) Et si l’initiative doit être soutenue par la distribution de  récompenses financières ou matérielles c’est encore mieux. Imaginez ! si a ça, vous ajouter le trésor éducatif et pedagogique que cela peut représenter De plus cela pourrait rééquilibrer l’égalité des chances d’accès aux espaces naturels pour les enfants de la cité, créant ainsi une ouverture sur l’enclave sociale actuelle Je crois que nous pouvons faire de belles choses pour l’avenir de l’homme et de son environnement A l’heure de la 6e extinction de masse depuis la création de la terre, il est criminel de lutter contre la vie sauvage et la biodiversité Merci;;;;;;;;;;;;;;;;
Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup, le 30 novembre 2023 à 14h06;Je m’oppose à ce PNA, en effet, ce document ne fait état que des aspects négatifs de la présence du loup. L’effet positif de sa présence vis-à vis de la biodiversité n’est pas évoqué. De plus, il ne respecte pas les engagements de l’état repris dans la convention de Berne de 1979 et la directive habitats datant de 1992. Ceci est inacceptable !;;;;;;;;;;;;;;;;
Favorable à la protection des loups , le 30 novembre 2023 à 14h13;Il n’y a pas eu d.évaluation lors du pana 2018 2023 sur les bénéfices de la protection des troupeaux ni des tirs légaux . Seul les négatifs à la présence du loup sont pris en compte Quant est.il dés positifs??? Le loup a sa place .il doit être protégé;;;;;;;;;;;;;;;;
Avis Défavorable, le 30 novembre 2023 à 14h14;Ce plan est un encouragement à la destruction des Loups. Sans aucune corrélation objective entre les dommages subis et le nombre de loups tués par ces tirs,  le gouvernement plie une fois de plus devant les chasseurs et une partie des éleveurs. Cet arrêté, censé fixer des limites d’une certaine régulation, laisse quasiment tout faire car même des tirs en dehors de ces limites seront excusés et absous. Il faut le redire, une cohabitation est possible avec les loups;;;;;;;;;;;;;;;;
