titre;texte
loup, le 31 mai 2025 à 20h44;l’efficacité de la combinaison chien de protection/regroupement nocturne/présence humaine n’a plus à faire ses preuves et pourtant ce sont les tirs létaux qui sont maintenant privilégiés sans que soit réellement étudiée chaque situation et proposées des solutions. l’Etat espère sans doute empêcher les loups de s’installer durablement en favorisant une éradication qui ne dit pas son nom.
Respecter la biodiversité , le 31 mai 2025 à 20h47;Je suis contre, il doit être protéger ! le loup est un acteur actif de l’écosystème, comme l’ours, le renard etc… ! Les États Unis l’ont bien compris car au-delà de l’épineuse question de cohabitation , il faut s’interroger sur la place que l’on veut donner à la biodiversité qui aujourd’hui est gravement compromise par l’activité humaine et l’accaparement de l’homme de tous les territoires au nom de la productivité. Nous sommes en train de détruire la biodiversité sur laquelle nous vivons depuis des millions d’années, la richesse de la vie humaine a reposé jusqu’ici sur cette richesse biodiversité : en la détruisant nous nous appauvrissons, jusqu’où ? Jusqu’à ce que nous ne puissions plus vivre sur notre planète ?
Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus), le 31 mai 2025 à 21h08;AVIS DEFAVORABLE. Il existe suffisamment de moyens de protéger les troupeaux sans recourir au fusil. Stop à l’éradication du loup !!
DEFAVORABLE, le 31 mai 2025 à 21h47;Les conditions permettant l abattage des loups sont considérablement affaiblie ce qui entraînera une destruction à long terme de la population de loup. En effet il suffira de poser une camera automatique ou de faire une visite journalière au troupeau pour etre autorisé a tuer un ou plusieurs loups. Encore une fois le modèle agricole soutenu par ce gouvernement amènera à la destruction d une espèce animale : les abeilles, les insectes, les oiseaux, le loup…la liste grandit.
Non, le 31 mai 2025 à 22h56;Les tirs letaux n’ont jamais rien arrangé prenez exemple sur les pays où il n’y a pas d’indemnisation pour les bergers et les éleveurs ils ils ont trouvé des solutions. Si tire son inefficaces tous les spécialistes par contre faire appel à une association qui aide l’éleveur ou le berger ça c’est efficace une clôture à partir du Moyen de présence humaine il n’y a pas de prédation
AVIS DÉFAVORABLE , le 31 mai 2025 à 23h03;Cet arrêté est beaucoup trop flou et ouvre la voie à des tirs alors qu’aucune attaque n’a eu lieu. Il permet aux éleveurs d’effectuer des tirs même si ceux-ci n’ont mis en place aucun moyen de protection ou n’ont effectué aucun tir d’effarouchement.
Favorable , le 31 mai 2025 à 23h19;Les moyens de protection s’ averant inefficaces, le tir reste le seul moyen de réguler le loup et de protéger nos troupeaux. Nous ne voulons pas des indemnisations, nous voulons garder nos animaux en vie tout simplement et vivre sereinement nos métiers et/ou passions.   Les loups oui mais pas sur tout le territoire. L’ agriculture est en danger. Toute la filière équine également. Le loup tue mais pas seulement pour manger, il tue par jeu. Les animaux d’ élevage et domestiques n’ ont pas à subir ces attaques macabres et atroces. Beaucoup trop de souffrance animale à cause du loup que l’.on.nous imposé.
Totalement DÉFAVORABLE, le 31 mai 2025 à 23h23;Les tirs sont inefficaces et engendent l’effet inverse à celui recherché. C’est juste une honte de plus à l’actif de la France contre la biodiversité pour satisfaire une minorité violente et irresponsable, car quand les moyens de protection et de surveillance sont utilisés ça fonctionne parfaitement !
AVIS DÉFAVORABLE , le 31 mai 2025 à 23h53;Pourquoi : - multiplication des autorisations de tirs de loups, y compris dès la première prédation - danger de régulation  de la population de loup, qui est une espèce protégée. -risque de démobilisation des éleveurs.
Totalement défavorable à la destruction des loups, le 1er juin 2025 à 00h18;Les loups sont une espèce protégée, la survie de l’espèce est menacée. La 1ère consultation n’a pas été prise en considération me semble-t-il sinon pour pourquoi la reproduire en simulant une évolution ?  Les mentalités n’ont pas changé, ni le fond du discours étatique. Faire disparaître une espèce quelle qu’elle soit détruit l’équilibre de la biodiversité. N’oublions pas qu’au bout de la chaîne se trouve l’homme, l’espèce la plus destructrice de la planète.  Trouvons un moyen de faire cohabiter les éleveurs, les bergers et les loups, entre autres animaux sauvages.
Une dérogation pour des infanticides ?, le 1er juin 2025 à 00h49;"Savez-vous combien il reste loups DANS LE MONDE ? Il reste seulement 300 000 individus. Contre HUIT MILLIARDS D’HUMAINS ET 2 MILLIARDS D’ANIMAUX d’ELEVAGE ! Et il faudrait les tuer parce qu’ils en grappillent 0,001 % pour vivre ? La France aurait-elle complètement perdue l’esprit ? Je suis contre. Les loups, comme tous les canidés, sont des animaux sentients. Pour ceux et celles qui n’ont pas le temps d’ouvrir un dictionnaire pour s’instruire un minimum, un animal sentient est un animal qui a l’intelligence, la perception du monde et le système émotionnel d’un ENFANT HUMAIN DE CINQ-SIX ANS !  Donc techniquement, abattre un tel animal revient à tuer un enfant. C’est ce qu’on appelle un infanticide. Et  donc ce projet d’arrêté nous demande dans quelles conditions on peut déroger à l’interdiction d’un infanticide ? Sérieusement ? Le niveau intellectuel et moral français serait-il tombé aussi bas ? Serions nous dans une Idiocratie ? Qui-plus-est les loups, comme les renards, les sangliers, les blaireaux et les cervidés, sont des biopurificateurs,  c’est-à-dire des animaux qui limitent et régulent les épidémies, les pandémies potentielles. Celles qui affectent l’homme, l’animal ou les agricultures. Sommes nous si pressés d’en subir une nouvelle ? Aujourd’hui on nous parle d’éradiquer tout un peuple, parce qu’ils ne communiquent pas de la même manière nous, ne vivent pas comme nous, n’ont pas les mêmes croyances et aspirations que nous et parce que certains jugent qu’ils nous sont inférieurs et prennent ""trop de place"" ? Qu’ils ""consomment"" des ressources qui nous seraient destinées ? Cela ne vous rappelle pas une sombre période ? Les horreurs du passé, les périodes les plus sombres de notre histoire, ne nous ont ils rien appris ? On les condamne, mais on continue à répéter les mêmes atrocités sans sourciller. Savez-vous que scientifiquement on définit un animal comme nuisible dès l’instant où sa population dépasse celle de l’être humain ? Nous sommes en plein anthropocène, soit la sixième extinction de masse de l’histoire de la Terre, et à côté nous sommes HUIT MILLIARDS sur une planète dont les ressources ne sont suffisante que pour 4,5 Milliards. Il n’existe plus d’animal que l’on peut définir comme nuisible, les nuisibles désormais c’est nous."
Totalement défavorable , le 1er juin 2025 à 00h54;Le loup est nécessaire à l’équilibre de l’écosystème… arrêtons de scier la branche sur laquelle nous sommes assis !!!
PLUS QUE DEFAVORABLE !, le 1er juin 2025 à 01h01;A en croire le gouvernement et les syndicats d’éleveurs, tirer les loups reste la solution la plus viable pour protéger les troupeaux. Mais personne n’est dupe : le machine s’auto-alimente sans cesse et toujours au bénéfice des mêmes. La France ne regarde même pas les solutions de protections et de cohabitation qui existent et fonctionnent dans les pays voisins, pour s’en inspirer. Comme d’habitude, action/réaction, sans réflexion ni consultation des experts du loup. Le gouvernement est maître dans la sélection de ce qu’il veut bien entendre… Nous pourrions tirer les loups quand les agriculteurs auront tout mis en oeuvre partout et sans faille pour protéger leurs troupeaux - ce qui est bien loin d’être le cas - et ce qui en arrange bien certains, disons-le. Le gouvernement veut le calme chez les agriculteurs, il ne veut pas de blocage d’autoroutes, ni de lisier sous l’Arc de Triomphe, il veut que les agriculteurs produisent un max, sous la pression des industriels de l’agro-alimentaire. D’autant en période pré-électorale, il veut garder coûte que coûte le pays le plus calme possible pour les municipales et la présidentielle. Donc le loup, sa fonction, son utilité pour le vivant, le gouvernement s’en fout total… la seule chose qu’il veut, c’est éviter la colère des agriculteurs et que les potes de l’agroalimentaire atteignent leurs objectifs de profit. Ce sont les deux principaux objectifs. Le reste, n’a pas lieu d’être. C’est hors sujet. Ce n’est même pas un sujet. Le loup n’existe pas. Le loup=perturbateur de l’ordre économique. Donc, on le supprime. C’est simple comme bonjour. L’homme politique, l’être binaire et irréfléchi dans toute sa splendeur. Même à la maternelle, les enfants sont bien plus intelligents et bien plus aptes à la cohabitation. La France préfère organiser la tuerie du loup, plutôt que d’investir dans les moyens de protection. Elle préfère indemniser, plutôt qu’investir à long terme pour une cohabitation utile à tous. Elle préfère, encore une fois et comme toujours, se servir en toute impunité sur le dos du contribuable pour prendre des mesures absurdes, contradictoires, opaques et destructrices, au profit d’un communautarisme aux mains sales (je vais m’arrêter là) Le loup est INDISPENSABLE à la bonne santé des écosystèmes.  On veut tirer le loup, mais on continue d’autoriser la barbarie de la chasse à courre (pourtant, qui mieux que les grands prédateurs régulent les populations d’ongulés et permettent la régénération des forêts ?) On veut tirer le loup, mais des éleveurs favorables à la cohabitation entre l’homme et l’animal subissent les pressions atroces des syndicats d’agriculteurs. On veut tirer le loup, pour un pourcentage plus que très ridicule de perte annuelle de tête de bétail, alors qu’on continue en toute impunité avec de gros effets de masse, les pesticides et les néonicotinoïdes qui tuent et tuent et tuent, et nous avec, nos familles, nos enfants… Loup ou autre, la grosse machinerie est en route. Je ne suis pas sans coeur et je compatis aux difficultés des éleveurs face aux attaques du loup, au stress subit par les animaux d’élevage, à la peine de perdre un(des) animal(aux). Le métier d’agriculteur est un métier difficile et qui réclame 365 jours par an de dévouement. MAIS A QUAND ENFIN UNE SUBVENTION, DE l’ENCADREMENT et DE LA FORMATION, DU DIALOGUE, POUR MOBILISER ET CONVAINCRE LES AGRICULTEURS DE FAIRE TOUT LE NECESSAIRE POUR PROTEGER EFFICACEMENT LEURS TROUPEAUX ??? PLUTÔT QUE DE TIRER et DETRUIRE !!! A QUAND LE TEMPS D’AVANCER ENFIN TOUS ENSEMBLE !!! Cela ne passera que par la pose des armes, j’en suis convaincue. Le gouvernement manque totalement d’intelligence, de sensibilité et surtout, de RESPONSABILITE et de COMPETENCE. Le gouvernement, dans cette affaire de tuerie du loup (parce qu’il s’agit bien de cela), signe une fois de plus la marque de sa virilité toxique et corrompue à l’égard du vivant. Je ne voterai plus pour vous, cher gouvernement actuel (et mes amis non plus, sachez-le par avance) Et je continuerai à vous résister pour que le monde change dans une notion de justice. Ce n’est pas un fusil qui empêchera le loup de croquer une brebis. La solution est dans la prévention. Encore faut-il que vous portiez, cher gouvernement, la valeur de l’intégrité pour le comprendre et l’appliquer.
